index,brand,model,mileage,price_range,link
3544.,TOYOTA,HILUX REVO Pickup 2dr Smart Cab Z Edition Mid Auto 6sp RWD 2.4DCT-202208,"7,049","570,000 - 585,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-2dr-smart-cab-z-edition-mid-auto-6sp-rwd-2-4dct-202208-automatic
3545.,TOYOTA,HILUX REVO Pickup 2dr Smart Cab Z Edition Mid Auto 6sp RWD 2.4DCT (60th Anniversary)-202208,"7,234","585,000 - 600,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-2dr-smart-cab-z-edition-mid-auto-6sp-rwd-2-4dct-60th-anniversary-202208-automatic
3546.,TOYOTA,HILUX REVO Pickup 2dr Smart Cab Z Edition Mid Man 6sp RWD 2.4DCT-202006,"5,874","475,000 - 625,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-2dr-smart-cab-z-edition-mid-man-6sp-rwd-2-4dct-202006-manual
3547.,TOYOTA,HILUX REVO Pickup 2dr Smart Cab Z Edition Mid Man 6sp RWD 2.4DCT-202101,"6,059","490,000 - 625,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-2dr-smart-cab-z-edition-mid-man-6sp-rwd-2-4dct-202101-manual
3548.,TOYOTA,HILUX REVO Pickup 2dr Smart Cab Z Edition Mid Man 6sp RWD 2.4DCT-202108,"6,059","490,000 - 655,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-2dr-smart-cab-z-edition-mid-man-6sp-rwd-2-4dct-202108-manual
3549.,TOYOTA,HILUX REVO Pickup 2dr Smart Cab Z Edition Mid Man 6sp RWD 2.4DCT-202208,"6,616","535,000 - 545,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-2dr-smart-cab-z-edition-mid-man-6sp-rwd-2-4dct-202208-manual
3550.,TOYOTA,HILUX REVO Pickup 2dr Smart Cab Z Edition Mid Man 6sp RWD 2.4DCT (60th Anniversary)-202208,"6,740","545,000 - 560,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-2dr-smart-cab-z-edition-mid-man-6sp-rwd-2-4dct-60th-anniversary-202208-manual
3551.,TOYOTA,HILUX REVO Pickup 2dr Smart Cab Z Edition Mid STD Auto 6sp RWD 2.4DCT-202006,"5,936","480,000 - 655,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-2dr-smart-cab-z-edition-mid-std-auto-6sp-rwd-2-4dct-202006-automatic
3552.,TOYOTA,HILUX REVO Pickup 2dr Smart Cab Z Edition Mid STD Man 6sp RWD 2.4DCT-202006,"5,565","450,000 - 620,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-2dr-smart-cab-z-edition-mid-std-man-6sp-rwd-2-4dct-202006-manual
3553.,TOYOTA,HILUX REVO Pickup 4dr DCab E Man 5sp RWD 2.4DCT-201506,"5,456","420,000 - 535,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-4dr-dcab-e-man-5sp-rwd-2-4dct-201506-manual
